g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0,0.038461538,0.018115942,0,0,0.007142857,0,0.026315789,0.053846154,0,0,0.040445256,0.210923798,0,0,0.064882422,0,0.290758438,0.392990086,0,3.525392104,1.462397998
0,0,0.003623188,0.029490617,0.066666667,0.003571429,0,0.010121457,0.038461538,0,0,0,0.017833843,0.178621034,0.050134385,0.041848803,0,0.22692754,0.484634394,0,3.220926198,1.380211242
0.046511628,0,0.018115942,0.016085791,0.066666667,0.003571429,0.009345794,0.006072874,0,0,0.263900585,0,0.223558732,0.22053167,0.015738444,0.094658261,0.047511209,0,0.134101099,0,2.943860396,1.278753601
0,0,0.028985507,0.032171582,0.066666667,0.003571429,0.018691589,0.030364372,0.038461538,0,0,0,0.394965984,0.178479202,0.084616946,0.005663021,0.012162624,0.040080061,0.284032163,0,3.78249914,1.643452676
0,0,0.014492754,0.00536193,0.066666667,0.003571429,0,0.004048583,0.023076923,0,0,0,0.303323173,0.069600773,0.091621441,0.046464947,0,0.338577057,0.150412609,0,2.827724577,1.113943352
0.046511628,0.019230769,0.028985507,0.008042895,0,0.010714286,0.009345794,0.042510121,0.053846154,0,0.026316992,0.003923261,0.306856028,0.006606902,0,0.138433533,0.007577197,0.208970478,0.301315609,0,3.919969835,1.662757832
0,0,0.003623188,0.034852547,0.066666667,0.021428571,0,0,0,0,0,0,0.013528067,0.320112972,0.049584597,0.616774364,0,0,0,0,2.959022302,1.322219295
0.023255814,0.019230769,0.032608696,0.024128686,0.066666667,0.007142857,0,0.012145749,0.053846154,0,0.052180507,0.002609025,0.243153655,0.125297035,0.026972442,0.128172594,0,0.265411081,0.156203662,0,3.425506506,1.556302501
0.093023256,0.076923077,0.115942029,0.064343164,0.133333333,0.078571429,0.121495327,0.101214575,0.2,0.044444444,0.027061063,0.007051994,0.178759003,0.137642374,0.011690144,0.058287814,0.042553729,0.268888183,0.221308927,0.046756771,4.461083993,2.252853031
0,0,0.003623188,0.00536193,0.066666667,0.003571429,0,0.006072874,0.015384615,0,0,0,0.042165723,0.33228109,0.016790315,0.124198946,0,0.223455538,0.261108389,0,3.420363431,1
0.023255814,0,0.039855072,0.00536193,0,0.025,0.046728972,0.012145749,0.1,0,0.009519614,0,0.182689115,0.055224614,0,0.179726606,0.053871054,0.402103126,0.11686587,0,3.495888307,1.653212514
0,0,0.014492754,0.021447721,0.133333333,0.003571429,0.009345794,0.010121457,0.007692308,0,0,0,0.268442363,0.229631929,0.053764654,0.026635442,0.066123048,0.041928248,0.313474317,0,2.85054209,1.342422681
