g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0.046511628,0.057692308,0.050724638,0.026809651,0.066666667,0.042857143,0.018691589,0.026315789,0.023076923,0,0.04606252,0.009465523,0.274346637,0.066252176,0.017120984,0.193687489,0.026231848,0.025282484,0.341550339,0,3.665031913,1.77815125
0.023255814,0,0.003623188,0,0,0.007142857,0,0.018218623,0.023076923,0,0.084541136,0,0.102787425,0,0,0.036243211,0,0.074596909,0.701831319,0,3.21594672,1.204119983
0,0,0.02173913,0.032171582,0.066666667,0.028571429,0.018691589,0.026315789,0.1,0.066666667,0,0,0.111492807,0.125943165,0.009818882,0.152382449,0.036365519,0.312831641,0.244126307,0.00703923,3.416347551,1.763427994
0,0,0.043478261,0.010723861,0,0.032142857,0.046728972,0.008097166,0.030769231,0,0,0,0.5812929,0.032535699,0,0.169530921,0.020582769,0.095083494,0.100974217,0,3.635006968,1.579783597
0,0,0.010869565,0.002680965,0,0.010714286,0.009345794,0.01417004,0.007692308,0,0,0,0.150329294,0.051606413,0,0.204376298,0.06643627,0.032417025,0.494834701,0,3.030806094,1.204119983
0,0,0,0,0,0.007142857,0,0.006072874,0.038461538,0,0,0,0,0,0,0.050361579,0,0.576200193,0.373438227,0,3.048177573,1
0,0,0.025362319,0.08310992,0.133333333,0.007142857,0.009345794,0.038461538,0.015384615,0,0,0,0.179597509,0.275906274,0.041904475,0.027032149,0.014593645,0.053038748,0.407927201,0,3.730982425,1.806179974
0,0,0.010869565,0.013404826,0.066666667,0.007142857,0,0,0,0,0,0,0.106003135,0.365552305,0.149920919,0.37852364,0,0,0,0,3.456037911,1.041392685
0,0.076923077,0.032608696,0.018766756,0,0.010714286,0.046728972,0.004048583,0.023076923,0,0,0.032541372,0.426481499,0.116318268,0,0.125689538,0.077026678,0.088527049,0.133415594,0,3.093407675,1.51851394
0,0,0.083333333,0.034852547,0.066666667,0.039285714,0.009345794,0.008097166,0.023076923,0,0,0,0.731640676,0.05181527,0.009405975,0.174724972,0.003233046,0.011747867,0.017432194,0,4.3132098,1.748188027
0.046511628,0,0.057971014,0.058981233,0.133333333,0.096428571,0.009345794,0.030364372,0.053846154,0,0.014587194,0,0.079802,0.073830493,0.002118961,0.649100014,0.004782028,0.040897591,0.134881719,0,4.395934853,1.963787827
0.069767442,0,0.010869565,0.010723861,0,0.003571429,0,0.010121457,0.030769231,0,0.417674861,0,0.044707407,0.036454524,0,0.038216514,0,0.259630817,0.203315877,0,3.610121219,1.301029996
0,0,0,0,0,0.014285714,0,0.018218623,0.030769231,0,0,0,0,0,0,0.636959322,0,0.093495813,0.269544865,0,4.090086912,1.230448921
0,0,0.003623188,0,0,0.003571429,0,0.01417004,0.015384615,0,0,0,0.216411767,0,0,0.081972185,0,0.118885664,0.582730384,0,2.664284617,1.041392685
0,0,0.010869565,0.013404826,0.066666667,0.007142857,0,0.002024291,0.015384615,0.022222222,0,0,0.190935952,0.213630752,0.071913105,0.082497538,0,0.130134421,0.147197137,0.163691095,2.857856952,1.176091259
0.023255814,0.038461538,0.028985507,0.013404826,0,0.021428571,0,0.01417004,0.038461538,0,0.036983993,0.00819605,0.412654483,0.09304825,0,0.20666109,0,0.134547269,0.107908865,0,3.605172474,1.531478917
0,0,0.02173913,0,0,0.003571429,0,0.010121457,0.046153846,0,0,0,0.099011443,0,0,0.030198646,0,0.659903947,0.210885964,0,3.506605139,1.255272505
0,0,0.010869565,0,0,0.007142857,0,0.012145749,0.038461538,0,0,0,0.121118898,0,0,0.124704588,0,0.123604433,0.630572081,0,2.991969943,1.204119983
0,0,0,0,0,0,0,0.026315789,0.038461538,0,0,0,0,0,0,0,0,0.420762729,0.579237271,0,3.092141433,1.255272505
