g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0,0,0.025362319,0.034852547,0.133333333,0.014285714,0,0.008097166,0.007692308,0,0,0,0.321003674,0.350155033,0.181203262,0.021558665,0,0.044274212,0.081805154,0,3.283063659,1.491361694
0.046511628,0,0.032608696,0.026809651,0,0.007142857,0.009345794,0.034412955,0.069230769,0,0.186071226,0,0.128366391,0.030455497,0,0.0344722,0.023490809,0.24095116,0.356192718,0,3.522586367,1.698970004
0,0,0,0.096514745,0.066666667,0.032142857,0.028037383,0.006072874,0,0,0,0,0,0.7125433,0.157990758,0.103692651,0.009834845,0,0.015938447,0,4.449335822,1.716003344
0,0.038461538,0.036231884,0.029490617,0.133333333,0.032142857,0.037383178,0.008097166,0.076923077,0.022222222,0,0.014083862,0.290393946,0.077254244,0.008286357,0.137441604,0.057942319,0.162371037,0.231923093,0.020303539,3.78613005,1.72427587
0,0,0.003623188,0.00536193,0,0.021428571,0.009345794,0.030364372,0.046153846,0,0,0,0.013703262,0.045216461,0,0.18871648,0.130337756,0.318347248,0.303678794,0,3.211286108,1.491361694
0,0,0.02173913,0.032171582,0.066666667,0.046428571,0.018691589,0.028340081,0.115384615,0,0,0,0.092580513,0.115279572,0.07614116,0.119637169,0.010194377,0.404423244,0.181743964,0,3.676933091,1.799340549
0,0,0,0,0,0.021428571,0,0.004048583,0.015384615,0,0,0,0,0,0,0.874988315,0,0.05961802,0.065393665,0,3.701396133,1
0,0.019230769,0.028985507,0.061662198,0.066666667,0.057142857,0.009345794,0.04048583,0.123076923,0.022222222,0,0.000169081,0.092976574,0.193082059,0.010057119,0.320092142,0.001965789,0.273258575,0.106291287,0.002107373,4.70992354,1.939519253
0.023255814,0,0.032608696,0.048257373,0,0.028571429,0,0.030364372,0.030769231,0,0.027401303,0,0.263911431,0.111507493,0,0.185970533,0,0.126201442,0.285007799,0,3.57926213,1.740362689
0,0,0.025362319,0.002680965,0,0.010714286,0.028037383,0.022267206,0.023076923,0,0,0,0.291916754,0.035181504,0,0.126884808,0.085993984,0.074929519,0.385093432,0,3.325841877,1.447158031
0,0,0,0.002680965,0,0.014285714,0,0.020242915,0.046153846,0,0,0,0,0.011562625,0,0.133314462,0,0.384070916,0.471051997,0,3.894455081,1.322219295
0,0.057692308,0.025362319,0.010723861,0,0.035714286,0.028037383,0.012145749,0.046153846,0,0,0.006345019,0.082198889,0.054619924,0,0.127105172,0.543014578,0.048111767,0.138604651,0,3.760573254,1.591064607
0,0,0.010869565,0.00536193,0,0,0.009345794,0.042510121,0.053846154,0,0,0,0.035966112,0.075213668,0,0,0.007092932,0.429734889,0.451992399,0,3.657703941,1.531478917
0,0,0.050724638,0.056300268,0.066666667,0.046428571,0.018691589,0.099190283,0.1,0.044444444,0,0,0.067702916,0.152328458,0.018886368,0.14921529,0.001470914,0.053608295,0.546939687,0.009848071,4.518959587,2.06069784
0.069767442,0,0.083333333,0.056300268,0.066666667,0.053571429,0,0.018218623,0.023076923,0,0.057545114,0,0.260497698,0.301840845,0.123953207,0.135179503,0,0.034582103,0.08640153,0,4.139029178,1.875061263
0.023255814,0,0.010869565,0.024128686,0.133333333,0.003571429,0,0.01417004,0.046153846,0,0.09951554,0,0.087289037,0.125506742,0.021326299,0.049236652,0,0.323121819,0.29400391,0,3.143402056,1.462397998
0,0.173076923,0.105072464,0.101876676,0.133333333,0.064285714,0.018691589,0.034412955,0,0,0,0.003516708,0.295435088,0.113031486,0.025014424,0.357468809,0.004693299,0,0.200840186,0,4.463654435,2.06069784
0,0,0.032608696,0.024128686,0.066666667,0,0,0.004048583,0,0,0,0,0.549976191,0.222201495,0.0612301,0,0,0,0.166592213,0,3.309005953,1.322219295
0,0,0,0,0,0.032142857,0,0,0.007692308,0,0,0,0,0,0,0.911954436,0,0.088045564,0,0,3.113110714,1
0,0,0.007246377,0.024128686,0,0.014285714,0,0.010121457,0,0,0,0,0.03042418,0.355595027,0,0.136496372,0,0,0.477484421,0,3.220330411,1.301029996
0.069767442,0,0.018115942,0.040214477,0.066666667,0.021428571,0.009345794,0.006072874,0,0,0.143739366,0,0.048107118,0.348236045,0.073654047,0.235827133,0.020450476,0,0.129985814,0,3.393447089,1.531478917
0,0,0.003623188,0,0,0.035714286,0,0.012145749,0.1,0,0,0,0.017691323,0,0,0.611978824,0,0.239328261,0.131001592,0,3.990787571,1.477121255
0,0.096153846,0.025362319,0.032171582,0.066666667,0.021428571,0.009345794,0.018218623,0.061538462,0,0,0.013079579,0.19285837,0.100846326,0.039176248,0.089809333,0.000693229,0.185551147,0.377985768,0,3.709351384,1.69019608
0,0,0.032608696,0.016085791,0.066666667,0.003571429,0,0.016194332,0.030769231,0,0,0,0.233488161,0.223690675,0.119316282,0.009496088,0,0.042761297,0.371247497,0,3.384183104,1.462397998
0.023255814,0,0.010869565,0,0,0,0,0.024291498,0.023076923,0,0.137678454,0,0.207157715,0,0,0,0,0.183956478,0.471207353,0,3.051129359,1.278753601
0,0,0.036231884,0.026809651,0.066666667,0.025,0.018691589,0.016194332,0.015384615,0,0,0,0.243809435,0.188730652,0.094249354,0.133358074,0.023534505,0.090216635,0.226101344,0,3.509679581,1.602059991
